Code fournisseur;libelle fournisseur;num article interne;type web;libelle article;code groupe;libelle groupe;code famille;libelle famille;code sous famille;libelle sous famille;collection;modele;matiere;couleur;divers;photo;matiere interne;couleur interne;divers interne;ligne produit;libelle taille;quantite;gencod interne;gencod fournisseur;pvttc;pvpromo;code tva;taux tva;date creation;date modification
BANDIT;banditas;5040490;2;;2;FEMME;4;PANTALONS FEMME;8;PANTALON FEMME;H22;LIZZIE;;CAMEL;;;;;;;S;10;900504049007    ;;49.99;49.99;1;20;20220909;20221220
BANDIT;banditas;5040490;2;;2;FEMME;4;PANTALONS FEMME;8;PANTALON FEMME;H22;LIZZIE;;CAMEL;;;;;;;S/M;11;900504049008    ;;49.99;49.99;1;20;20220909;20221220
BANDIT;banditas;5040490;2;;2;FEMME;4;PANTALONS FEMME;8;PANTALON FEMME;H22;LIZZIE;;CAMEL;;;;;;;M;12;900504049009    ;;49.99;49.99;1;20;20220909;20221220
BANDIT;banditas;5040490;2;;2;FEMME;4;PANTALONS FEMME;8;PANTALON FEMME;H22;LIZZIE;;CAMEL;;;;;;;M/L;13;900504049010    ;;49.99;49.99;1;20;20220909;20221220
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
