Code fournisseur;libelle fournisseur;num article interne;type web;libelle article;code groupe;libelle groupe;code famille;libelle famille;code sous famille;libelle sous famille;collection;modele;matiere;couleur;divers;photo;matiere interne;couleur interne;divers interne;ligne produit;libelle taille;quantite;gencod interne;gencod fournisseur;pvttc;pvpromo;code tva;taux tva;date creation;date modification;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AGK;AGK BISOUS PROJECT;005040707;1;;2;FEMME;3;MAILLE FEMME;3;PULL FEMME;H22;2195;LOSANG;NO/ECR;;;;;;;TU;1;9005040707019;;44.99;44.99;1;20;20220920;20221226
AKOZ;AKOZ MMS TENDANCE AKOZ DE TOI;005038004;1;;2;FEMME;1;PETITS HAUTS FEMME;6;DEBARDEUR;H22;S188;DENTEL;NOIR;;;;;;;XS;0;9005038004014;;24.99;24.99;1;20;20220715;20221226
AKOZ;AKOZ MMS TENDANCE AKOZ DE TOI;005038004;1;;2;FEMME;1;PETITS HAUTS FEMME;6;DEBARDEUR;H22;S188;DENTEL;NOIR;;;;;;;XS-S;0;9005038004021;;24.99;24.99;1;20;20220715;20221226
AKOZ;AKOZ MMS TENDANCE AKOZ DE TOI;005038004;1;;2;FEMME;1;PETITS HAUTS FEMME;6;DEBARDEUR;H22;S188;DENTEL;NOIR;;;;;;;S;0;9005038004038;;24.99;24.99;1;20;20220715;20221226
AKOZ;AKOZ MMS TENDANCE AKOZ DE TOI;005038004;1;;2;FEMME;1;PETITS HAUTS FEMME;6;DEBARDEUR;H22;S188;DENTEL;NOIR;;;;;;;S-M;0;9005038004045;;24.99;24.99;1;20;20220715;20221226
AKOZ;AKOZ MMS TENDANCE AKOZ DE TOI;005038004;1;;2;FEMME;1;PETITS HAUTS FEMME;6;DEBARDEUR;H22;S188;DENTEL;NOIR;;;;;;;M;1;9005038004052;;24.99;24.99;1;20;20220715;20221226
AKOZ;AKOZ MMS TENDANCE AKOZ DE TOI;005038004;1;;2;FEMME;1;PETITS HAUTS FEMME;6;DEBARDEUR;H22;S188;DENTEL;NOIR;;;;;;;M-L;0;9005038004069;;24.99;24.99;1;20;20220715;20221226
AKOZ;AKOZ MMS TENDANCE AKOZ DE TOI;005038004;1;;2;FEMME;1;PETITS HAUTS FEMME;6;DEBARDEUR;H22;S188;DENTEL;NOIR;;;;;;;L;2;9005038004076;;24.99;24.99;1;20;20220715;20221226
AKOZ;AKOZ MMS TENDANCE AKOZ DE TOI;005038004;1;;2;FEMME;1;PETITS HAUTS FEMME;6;DEBARDEUR;H22;S188;DENTEL;NOIR;;;;;;;L-XL;0;9005038004083;;24.99;24.99;1;20;20220715;20221226
AKOZ;AKOZ MMS TENDANCE AKOZ DE TOI;005038004;1;;2;FEMME;1;PETITS HAUTS FEMME;6;DEBARDEUR;H22;S188;DENTEL;NOIR;;;;;;;XL;0;9005038004090;;24.99;24.99;1;20;20220715;20221226
