Code fournisseur;libelle fournisseur;num article interne;type web;libelle article;code groupe;libelle groupe;code famille;libelle famille;code sous famille;libelle sous famille;collection;modele;matiere;couleur;divers;photo;matiere interne;couleur interne;divers interne;ligne produit;libelle taille;quantite;gencod interne;gencod fournisseur;pvttc;pvpromo;code tva;taux tva;date creation;date modification;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALLEN;ALLEN and JO;005045329;1;;8;DIVERS;9;DIVERS;3;PONCHO;E23;A857;IMPRI;BEIGE;;;;;;;TU;1;9005045329018;;69.99;69.99;1;20;20230215;20230215
ANDROM;androméde;005044567;1;;2;FEMME;1;PETITS HAUTS FEMME;4;CHEMISIER;E23;92624;ECRU;KAKI;;;;;;;TU;2;9005044567015;;49.99;49.99;1;20;20230126;20230221
ANOUCH;ANOUCHCA;005044699;1;;5;CHAUSSURES;1;CHAUSSURES FEMME;6;BASKETS FEMME;E23;AJ-108;VERT;BLANC;;;;;;;36;1;9005044699013;;39.99;39.99;1;20;20230127;20230221
ANOUCH;ANOUCHCA;005044699;1;;5;CHAUSSURES;1;CHAUSSURES FEMME;6;BASKETS FEMME;E23;AJ-108;VERT;BLANC;;;;;;;37;0;9005044699020;;39.99;39.99;1;20;20230127;20230221
ANOUCH;ANOUCHCA;005044699;1;;5;CHAUSSURES;1;CHAUSSURES FEMME;6;BASKETS FEMME;E23;AJ-108;VERT;BLANC;;;;;;;38;1;9005044699037;;39.99;39.99;1;20;20230127;20230221
ANOUCH;ANOUCHCA;005044699;1;;5;CHAUSSURES;1;CHAUSSURES FEMME;6;BASKETS FEMME;E23;AJ-108;VERT;BLANC;;;;;;;39;1;9005044699044;;39.99;39.99;1;20;20230127;20230221
ANOUCH;ANOUCHCA;005044699;1;;5;CHAUSSURES;1;CHAUSSURES FEMME;6;BASKETS FEMME;E23;AJ-108;VERT;BLANC;;;;;;;40;1;9005044699051;;39.99;39.99;1;20;20230127;20230221
ANOUCH;ANOUCHCA;005044699;1;;5;CHAUSSURES;1;CHAUSSURES FEMME;6;BASKETS FEMME;E23;AJ-108;VERT;BLANC;;;;;;;41;0;9005044699068;;39.99;39.99;1;20;20230127;20230221
ANOUCH;ANOUCHCA;005044750;1;;9;ACCESSOIRES;0;ACCESSOIRES TEXTILE;4;CEINTURES FEMME;E23;CE09;BRILLA;DORÉ;;;;;;;TU;1;9005044750011;;29.99;29.99;1;20;20230127;20230218
ANOUCH;ANOUCHCA;005034393;1;;5;CHAUSSURES;1;CHAUSSURES FEMME;6;BASKETS FEMME;E23;STS-38;ARGENT;BLANC;;;;;;;36;1;9005034393013;;44.99;44.99;1;20;20220324;20230221
